場名,場コード,開催日,レース,枠,登録番号,級別,氏名,F数,L数,平均ST,全国勝率,全国2連率,全国3連率,当地勝率,当地2連率,当地3連率,支部,出身,年齢,締切時刻
戸田,02,20260620,2R,6,5297,B1,南　　　彩寧,0,0,0.20,3.67,18.81,30.69,1.73,0.00,6.67,兵庫,兵庫,23,11:16
戸田,02,20260620,3R,1,4694,B1,高田　　　綾,0,0,0.18,3.97,19.40,34.33,4.92,30.56,38.89,福岡,福岡,41,11:45
戸田,02,20260620,3R,2,4548,B2,篠木　亜衣花,1,0,0.24,2.96,6.25,14.58,0.00,0.00,0.00,三重,三重,38,11:45
戸田,02,20260620,3R,3,5146,B1,野田　　彩加,0,0,0.15,5.65,34.18,56.96,5.22,33.33,44.44,山口,山口,23,11:45
戸田,02,20260620,3R,4,4642,A1,松尾　　夏海,0,0,0.16,6.75,53.85,68.38,7.90,60.00,80.00,香川,愛媛,34,11:45
戸田,02,20260620,3R,5,5231,A2,寺田　　空詩,0,0,0.15,5.62,39.39,59.09,4.79,21.43,42.86,山口,山口,22,11:45
戸田,02,20260620,3R,6,4385,B1,鈴木　祐美子,0,0,0.22,3.73,12.50,30.36,3.94,0.00,33.33,三重,三重,40,11:45
戸田,02,20260620,4R,1,5003,B1,来田　　衣織,0,0,0.17,4.97,37.61,46.79,4.42,18.42,42.11,兵庫,兵庫,30,12:14
戸田,02,20260620,4R,2,4501,A2,樋口　由加里,0,0,0.14,5.32,34.21,49.12,5.33,40.74,51.85,岡山,岡山,38,12:14
戸田,02,20260620,4R,3,4974,A1,安井　　瑞紀,1,0,0.14,5.29,35.14,50.45,0.00,0.00,0.00,岡山,岡山,33,12:14
戸田,02,20260620,4R,4,4900,A2,中田　　夕貴,0,1,0.18,4.29,17.24,35.63,5.11,33.33,46.67,埼玉,埼玉,33,12:14
戸田,02,20260620,4R,5,5155,B1,内山　　七海,0,0,0.16,6.00,45.19,63.46,6.40,40.00,80.00,福岡,福岡,29,12:14
戸田,02,20260620,4R,6,5324,B2,畑田　　希咲,0,0,0.23,2.36,3.39,6.78,1.22,0.00,0.00,兵庫,兵庫,22,12:14
戸田,02,20260620,5R,1,5045,A2,平川　　香織,1,0,0.22,6.50,46.72,68.03,5.71,36.25,60.00,埼玉,東京,25,12:44
戸田,02,20260620,5R,2,5072,B2,吉田　　杏美,0,0,0.22,2.43,4.76,4.76,2.75,10.00,15.00,埼玉,埼玉,31,12:44
戸田,02,20260620,5R,3,3302,B1,谷川　　里江,0,0,0.18,4.73,27.03,45.95,3.42,0.00,31.58,愛知,愛知,58,12:44
戸田,02,20260620,5R,4,3435,A1,寺田　　千恵,0,0,0.16,6.42,43.16,63.16,5.95,47.62,57.14,岡山,福岡,57,12:44
戸田,02,20260620,5R,5,5079,B1,大石　　真央,1,0,0.17,4.99,28.44,50.46,2.93,13.33,13.33,静岡,静岡,28,12:44
戸田,02,20260620,5R,6,4317,B1,木村　紗友希,0,0,0.16,4.27,28.13,34.38,5.16,36.84,47.37,静岡,静岡,41,12:44
戸田,02,20260620,6R,1,4987,B1,島倉　　　都,0,0,0.17,3.75,16.46,25.32,4.34,15.79,36.84,群馬,新潟,29,13:14
戸田,02,20260620,6R,2,4963,A1,實森　　美祐,0,0,0.15,6.43,45.54,61.39,7.00,58.97,76.92,広島,広島,29,13:14
戸田,02,20260620,6R,3,4714,B1,喜多須　杏奈,0,0,0.17,4.80,19.51,46.34,4.57,28.57,42.86,徳島,徳島,35,13:14
戸田,02,20260620,6R,4,5213,A2,湯淺　　紀香,0,0,0.18,5.19,33.96,48.11,5.00,33.33,38.89,群馬,群馬,27,13:14
戸田,02,20260620,6R,5,5373,B2,諏訪　　玲奈,0,0,0.24,2.54,0.00,15.38,2.50,0.00,16.67,岡山,岡山,23,13:14
戸田,02,20260620,6R,6,5264,B1,登　　みひ果,0,0,0.16,5.08,25.23,49.55,2.44,0.00,11.11,兵庫,兵庫,26,13:14
戸田,02,20260620,7R,1,4642,A1,松尾　　夏海,0,0,0.16,6.75,53.85,68.38,7.90,60.00,80.00,香川,愛媛,34,13:45
戸田,02,20260620,7R,2,4479,B1,矢野　真梨菜,0,0,0.18,3.73,14.93,28.36,0.00,0.00,0.00,山口,福岡,38,13:45
戸田,02,20260620,7R,3,4045,B1,佐々木　裕美,0,0,0.16,4.09,22.73,31.82,0.00,0.00,0.00,山口,山口,46,13:45
戸田,02,20260620,7R,4,5174,B2,川井　　　萌,0,0,0.15,5.16,29.09,45.45,6.18,54.55,72.73,静岡,静岡,24,13:45
戸田,02,20260620,7R,5,5108,B2,柴田　　愛梨,0,0,0.31,2.72,7.02,14.04,0.00,0.00,0.00,群馬,群馬,27,13:45
戸田,02,20260620,7R,6,5306,B1,河内　悠利杏,1,0,0.22,2.64,6.32,15.79,1.83,0.00,0.00,群馬,群馬,23,13:45
戸田,02,20260620,8R,1,4984,A2,森下　　愛梨,0,0,0.19,5.04,31.91,46.81,4.60,20.00,50.00,静岡,静岡,29,14:16
戸田,02,20260620,8R,2,4385,B1,鈴木　祐美子,0,0,0.22,3.73,12.50,30.36,3.94,0.00,33.33,三重,三重,40,14:16
戸田,02,20260620,8R,3,5155,B1,内山　　七海,0,0,0.16,6.00,45.19,63.46,6.40,40.00,80.00,福岡,福岡,29,14:16
戸田,02,20260620,8R,4,4998,B2,中村　かなえ,0,0,,4.30,26.00,36.00,4.29,14.29,42.86,東京,東京,32,14:16
戸田,02,20260620,8R,5,5117,B1,冨名腰　桃奈,0,0,0.18,4.37,23.94,42.25,3.56,22.22,22.22,福岡,沖縄,26,14:16
戸田,02,20260620,8R,6,4825,A1,倉持　　莉々,0,0,0.12,6.70,47.01,68.38,7.16,68.42,73.68,東京,茨城,32,14:16
戸田,02,20260620,9R,1,5342,B2,原村　　百那,0,0,0.19,1.60,0.00,3.77,0.00,0.00,0.00,山口,山口,24,14:48
戸田,02,20260620,9R,2,5231,A2,寺田　　空詩,0,0,0.15,5.62,39.39,59.09,4.79,21.43,42.86,山口,山口,22,14:48
戸田,02,20260620,9R,3,5013,B1,山下　　夏鈴,1,0,0.17,5.50,37.04,51.85,1.78,0.00,0.00,三重,三重,28,14:48
戸田,02,20260620,9R,4,4317,B1,木村　紗友希,0,0,0.16,4.27,28.13,34.38,5.16,36.84,47.37,静岡,静岡,41,14:48
戸田,02,20260620,9R,5,4387,A1,平山　　智加,0,0,0.15,6.78,46.40,70.40,7.41,52.94,76.47,香川,香川,40,14:48
戸田,02,20260620,9R,6,4738,A2,清埜　　翔子,0,0,0.16,5.82,40.91,53.79,5.59,42.50,56.25,埼玉,埼玉,34,14:48
戸田,02,20260620,10R,1,5213,A2,湯淺　　紀香,0,0,0.18,5.19,33.96,48.11,5.00,33.33,38.89,群馬,群馬,27,15:21
戸田,02,20260620,10R,2,5079,B1,大石　　真央,1,0,0.17,4.99,28.44,50.46,2.93,13.33,13.33,静岡,静岡,28,15:21
戸田,02,20260620,10R,3,4501,A2,樋口　由加里,0,0,0.14,5.32,34.21,49.12,5.33,40.74,51.85,岡山,岡山,38,15:21
戸田,02,20260620,10R,4,4300,B1,加藤　　　綾,0,0,0.17,5.26,30.10,55.34,6.88,47.06,70.59,三重,三重,43,15:21
戸田,02,20260620,10R,5,4546,A1,浜田　亜理沙,0,0,0.16,6.35,45.45,66.23,6.72,45.12,63.41,埼玉,広島,38,15:21
戸田,02,20260620,10R,6,5146,B1,野田　　彩加,0,0,0.15,5.65,34.18,56.96,5.22,33.33,44.44,山口,山口,23,15:21
戸田,02,20260620,11R,1,4974,A1,安井　　瑞紀,1,0,0.14,5.29,35.14,50.45,0.00,0.00,0.00,岡山,岡山,33,15:55
戸田,02,20260620,11R,2,4045,B1,佐々木　裕美,0,0,0.16,4.09,22.73,31.82,0.00,0.00,0.00,山口,山口,46,15:55
戸田,02,20260620,11R,3,4963,A1,實森　　美祐,0,0,0.15,6.43,45.54,61.39,7.00,58.97,76.92,広島,広島,29,15:55
戸田,02,20260620,11R,4,4694,B1,高田　　　綾,0,0,0.18,3.97,19.40,34.33,4.92,30.56,38.89,福岡,福岡,41,15:55
戸田,02,20260620,11R,5,5045,A2,平川　　香織,1,0,0.22,6.50,46.72,68.03,5.71,36.25,60.00,埼玉,東京,25,15:55
戸田,02,20260620,11R,6,4791,A2,黒澤　めぐみ,0,0,0.17,5.40,32.99,53.61,6.48,50.00,65.00,東京,神奈川,36,15:55
戸田,02,20260620,12R,1,3435,A1,寺田　　千恵,0,0,0.16,6.42,43.16,63.16,5.95,47.62,57.14,岡山,福岡,57,16:30
戸田,02,20260620,12R,2,5322,B2,根岸　　真優,0,0,0.22,2.34,6.25,13.75,2.06,5.32,9.57,埼玉,埼玉,24,16:30
戸田,02,20260620,12R,3,5003,B1,来田　　衣織,0,0,0.17,4.97,37.61,46.79,4.42,18.42,42.11,兵庫,兵庫,30,16:30
戸田,02,20260620,12R,4,4984,A2,森下　　愛梨,0,0,0.19,5.04,31.91,46.81,4.60,20.00,50.00,静岡,静岡,29,16:30
戸田,02,20260620,12R,5,4746,A2,大豆生田　蒼,0,0,0.16,5.31,32.00,49.33,6.42,48.65,67.57,埼玉,栃木,31,16:30
戸田,02,20260620,12R,6,4117,A1,廣中　智紗衣,0,0,0.20,5.88,43.52,62.96,5.45,45.45,45.45,東京,愛知,45,16:30
平和島,04,20260620,1R,1,4863,B1,三浦　　裕貴,1,0,0.15,4.47,20.00,44.29,4.36,22.22,38.89,東京,北海道,37,11:55
平和島,04,20260620,1R,2,3372,B1,加藤　　雅之,0,0,0.21,2.88,4.17,16.67,0.00,0.00,0.00,広島,広島,59,11:55
平和島,04,20260620,1R,3,4335,A1,若林　　　将,0,0,0.12,7.20,52.88,77.88,6.64,49.09,63.64,東京,千葉,42,11:55
平和島,04,20260620,1R,4,5137,B1,川原　　　涼,0,0,0.17,5.41,35.11,57.45,5.82,36.36,54.55,愛知,愛知,26,11:55
平和島,04,20260620,1R,5,4962,A2,畑　　　竜生,0,0,0.15,5.65,35.19,57.41,5.52,33.33,52.38,三重,三重,29,11:55
平和島,04,20260620,1R,6,4234,B1,野相　　弘司,0,0,0.17,5.01,30.26,46.05,5.41,41.18,58.82,福岡,福岡,42,11:55
平和島,04,20260620,2R,1,4468,A1,大池　　佑来,1,0,0.13,6.51,47.32,64.29,6.91,51.52,70.71,東京,神奈川,39,12:24
平和島,04,20260620,2R,2,4491,B1,田中　　　堅,0,0,0.19,4.47,21.84,40.23,5.24,34.48,48.28,群馬,群馬,39,12:24
平和島,04,20260620,2R,3,5022,B1,伊藤　　尚汰,0,0,0.16,4.59,31.43,38.57,4.50,16.67,41.67,福岡,福岡,31,12:24
平和島,04,20260620,2R,4,5273,B1,山下　　拓巳,0,0,0.18,3.89,18.45,33.98,5.14,42.86,42.86,兵庫,兵庫,24,12:24
平和島,04,20260620,2R,5,3226,B1,浦田　　信義,0,0,0.18,4.40,21.92,41.10,5.09,30.30,51.52,東京,東京,60,12:24
平和島,04,20260620,2R,6,5383,B2,中村　　　楓,0,0,0.17,2.12,0.00,5.41,0.00,0.00,0.00,三重,三重,21,12:24
平和島,04,20260620,3R,1,3587,B1,武田　　信一,0,0,0.17,4.19,18.95,34.74,0.00,0.00,0.00,徳島,徳島,53,12:54
平和島,04,20260620,3R,2,4581,A1,吉村　　　誠,1,0,0.14,6.25,47.01,60.45,7.27,63.64,81.82,静岡,静岡,36,12:54
平和島,04,20260620,3R,3,4261,A1,岡　　　祐臣,0,0,0.16,6.23,43.65,61.90,6.05,40.91,61.36,三重,三重,42,12:54
平和島,04,20260620,3R,4,4565,B1,西村　　豪洋,0,0,0.18,3.80,13.33,32.22,4.71,28.57,35.71,愛知,愛知,38,12:54
平和島,04,20260620,3R,5,3072,B1,西田　　　靖,0,0,0.15,4.18,18.18,35.06,4.79,25.61,43.90,東京,神奈川,64,12:54
平和島,04,20260620,3R,6,4411,A2,沢田　　昭宏,0,0,0.16,5.65,37.50,55.83,5.78,37.50,56.25,大阪,大阪,40,12:54
平和島,04,20260620,4R,1,3377,B1,塚田　　修二,0,0,0.18,4.29,20.51,41.03,4.32,20.75,37.74,東京,東京,58,13:25
平和島,04,20260620,4R,2,4715,A1,村上　　　遼,0,0,0.12,6.03,36.21,67.24,5.32,32.00,40.00,長崎,長崎,34,13:25
平和島,04,20260620,4R,3,3776,B1,横井　　健太,0,0,0.17,3.44,12.94,20.00,4.07,26.67,30.00,愛知,愛知,51,13:25
平和島,04,20260620,4R,4,3976,B1,内田　　　圭,0,0,0.18,3.47,16.47,24.71,0.00,0.00,0.00,山口,山口,49,13:25
平和島,04,20260620,4R,5,4633,A2,森　　　智也,0,0,0.15,5.51,30.97,54.87,4.26,26.09,39.13,兵庫,兵庫,37,13:25
