登録番号,集計開始,集計終了,出走数,1着数,逃げ,差し,まくり,まくり差し,抜き,恵まれ,まくり率,差し率,前づけ平均,前づけ率
5396,2025-12-27,2026-06-27,67,0,0,0,0,0,0,0,,,-0.16,0.0
5397,2025-12-27,2026-06-27,81,0,0,0,0,0,0,0,,,-0.1,0.0
5398,2025-12-27,2026-06-27,106,8,4,1,1,2,0,0,12.5,12.5,-0.09,0.0
5399,2025-12-27,2026-06-27,80,0,0,0,0,0,0,0,,,-0.24,0.0
5400,2025-12-27,2026-06-27,85,0,0,0,0,0,0,0,,,-0.23,0.0
5401,2025-12-27,2026-06-27,52,1,0,0,0,1,0,0,0.0,0.0,-0.34,0.0
5402,2025-12-27,2026-06-27,61,0,0,0,0,0,0,0,,,-0.31,0.0
5403,2025-12-27,2026-06-27,84,0,0,0,0,0,0,0,,,-0.2,0.0
5404,2025-12-27,2026-06-27,72,1,0,0,1,0,0,0,100.0,0.0,-0.25,0.0
5405,2025-12-27,2026-06-27,80,2,0,0,2,0,0,0,100.0,0.0,-0.15,1.3
5406,2025-12-27,2026-06-27,104,0,0,0,0,0,0,0,,,-0.2,0.0
5407,2025-12-27,2026-06-27,84,0,0,0,0,0,0,0,,,-0.04,0.0
5408,2025-12-27,2026-06-27,19,0,0,0,0,0,0,0,,,-0.33,0.0
5409,2025-12-27,2026-06-27,73,1,0,0,1,0,0,0,100.0,0.0,-0.32,0.0
5410,2025-12-27,2026-06-27,60,1,0,0,0,1,0,0,0.0,0.0,-0.36,0.0
5411,2025-12-27,2026-06-27,70,0,0,0,0,0,0,0,,,-0.28,0.0
5412,2025-12-27,2026-06-27,79,0,0,0,0,0,0,0,,,-0.1,0.0
5413,2025-12-27,2026-06-27,89,1,0,0,1,0,0,0,100.0,0.0,-0.08,0.0
5415,2025-12-27,2026-06-27,60,0,0,0,0,0,0,0,,,-0.12,0.0
5416,2025-12-27,2026-06-27,76,1,0,0,1,0,0,0,100.0,0.0,-0.09,0.0
5417,2025-12-27,2026-06-27,88,3,0,0,1,1,1,0,33.3,0.0,-0.08,1.4
5418,2025-12-27,2026-06-27,83,0,0,0,0,0,0,0,,,-0.29,0.0
5419,2025-12-27,2026-06-27,73,0,0,0,0,0,0,0,,,-0.37,0.0
5420,2025-12-27,2026-06-27,66,0,0,0,0,0,0,0,,,-0.36,0.0
5421,2025-12-27,2026-06-27,53,0,0,0,0,0,0,0,,,-0.38,0.0
5422,2025-12-27,2026-06-27,72,0,0,0,0,0,0,0,,,-0.26,0.0
5423,2025-12-27,2026-06-27,59,0,0,0,0,0,0,0,,,-0.29,0.0
5424,2025-12-27,2026-06-27,59,1,0,0,1,0,0,0,100.0,0.0,-0.16,0.0
5425,2025-12-27,2026-06-27,67,0,0,0,0,0,0,0,,,-0.4,0.0
5426,2025-12-27,2026-06-27,76,0,0,0,0,0,0,0,,,-0.32,0.0
5427,2025-12-27,2026-06-27,90,1,0,0,1,0,0,0,100.0,0.0,-0.35,0.0
5428,2025-12-27,2026-06-27,73,0,0,0,0,0,0,0,,,-0.34,0.0
5429,2025-12-27,2026-06-27,68,0,0,0,0,0,0,0,,,-0.44,0.0
5430,2025-12-27,2026-06-27,71,0,0,0,0,0,0,0,,,-0.36,0.0
5431,2025-12-27,2026-06-27,74,0,0,0,0,0,0,0,,,-0.37,0.0
5432,2025-12-27,2026-06-27,77,2,0,0,0,2,0,0,0.0,0.0,-0.37,0.0
5433,2025-12-27,2026-06-27,68,0,0,0,0,0,0,0,,,-0.22,0.0
5434,2025-12-27,2026-06-27,70,1,0,0,1,0,0,0,100.0,0.0,-0.32,0.0
5435,2025-12-27,2026-06-27,65,0,0,0,0,0,0,0,,,-0.34,0.0
5436,2025-12-27,2026-06-27,77,0,0,0,0,0,0,0,,,-0.29,0.0
5437,2025-12-27,2026-06-27,58,0,0,0,0,0,0,0,,,-0.29,0.0
5438,2025-12-27,2026-06-27,76,0,0,0,0,0,0,0,,,-0.32,0.0
5439,2025-12-27,2026-06-27,79,1,0,0,0,1,0,0,0.0,0.0,-0.35,0.0
5440,2025-12-27,2026-06-27,67,0,0,0,0,0,0,0,,,-0.32,0.0
5441,2025-12-27,2026-06-27,90,5,0,0,0,4,1,0,0.0,0.0,-0.48,0.0
5442,2025-12-27,2026-06-27,61,0,0,0,0,0,0,0,,,-0.36,0.0
5443,2025-12-27,2026-06-27,62,0,0,0,0,0,0,0,,,-0.48,0.0
